Project,Component,Artifact,Version
"Catalog, Data Model, and Data Management",Common Data Service (CDS) – server,acumos/common-dataservice,3.0.0
"Catalog, Data Model, and Data Management",Federation,acumos/federation-gateway,3.0.2
Common Services,Microservice Generation,acumos/microservice-generation,3.6.0
Deployment,Azure Client,acumos-azure-client,3.0.2
Deployment,Kubernetes Client,kubernetes-client,3.0.0
Deployment,OpenStack Client,openstack-client,3.0.0
Design Studio,Composition Engine,ds-compositionengine,3.0.0
License-Manager,License-Manager,acumos/license-rtu-editor,0.1.3
License-Manager,License-Manager,acumos/license-profile-editor,0.0.9
License-Usage-Manager,License-Usage-Manager,acumos/lum-server,0.28.1
License-Usage-Manager,License-Usage-Manager,acumos/lum-db,0.28.1
Model Onboarding,Onboarding,acumos/onboarding-app,3.6.0
OA&M,Elasticsearch,acumos-elasticsearch,3.0.4
OA&M,elk-client,elk-client,3.0.4
OA&M,Filebeat,acumos-filebeat,2.2.2
OA&M,Kibana,acumos-kibana,3.0.4
OA&M,Logstash,acumos-logstash,3.0.4
OA&M,Metricbeat,acumos-metricbeat,3.0.4
Portal,Portal Backend,acumos-portal-be,3.0.20
Portal,Portal Frontend,acumos-portal-fe,3.0.20
Security-Verification,Security-Verification,acumos/security-verification,1.2.0
Workbench,Dashboard-Webcomponent,acumos/dashboard-webcomponent,2.0.6
Workbench,Home-Webcomponent,acumos/home-webcomponent,2.0.5
Workbench,Notebook-Catalog-Webcomponent,acumos/notebook-catalog-webcomponent,2.0.7
Workbench,Notebook-Webcomponent,acumos/notebook-webcomponent,2.0.6
Workbench,Project-Webcomponent,acumos/project-webcomponent,2.0.6
Workbench,Project-Catalog-Webcomponent,acumos/project-catalog-webcomponent,2.0.7
Workbench,Pipeline-Catalog-Webcomponent,acumos/pipeline-catalog-webcomponent,2.0.7
Workbench,Pipeline-Webcomponent,acumos/pipeline-webcomponent,2.0.6
Workbench,Project-Service,project-service,2.0.2
Workbench,Notebook-Service,notebook-service,2.0.1
Workbench,Pipeline-Service,pipeline-service,2.0.2
Workbench,Model-Service,model-service,2.0.0
Workbench,Predictor-Service,predictor-service,1.0.0
